EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_CENSUS_METROPOLITAN_AREA	FR_RÉGION_MÉTROPOLITAINE_DE_RECENSEMENT	TOTAL
2018	Q2	Apr	2018	T2	avr.	New Brunswick	Nouveau-Brunswick	Saint John	Saint John	--
2020	Q2	Jun	2020	T2	juin	Ontario	Ontario	Norfolk	Norfolk	--
2022	Q3	Jul	2022	T3	juil.	Manitoba	Manitoba	Thompson	Thompson	--
2019	Q2	Jun	2019	T2	juin	Ontario	Ontario	Norfolk	Norfolk	--
2015	Q4	Oct	2015	T4	oct.	Ontario	Ontario	Orillia	Orillia	--
2022	Q3	Aug	2022	T3	août	Ontario	Ontario	Timmins	Timmins	10
2017	Q2	Jun	2017	T2	juin	Yukon	Yukon	Whitehorse	Whitehorse	--
2020	Q2	May	2020	T2	mai	Alberta	Alberta	Lethbridge	Lethbridge	15
2022	Q4	Dec	2022	T4	déc.	British Columbia	Colombie-Britannique	Campbell River	Campbell River	--
2016	Q2	Apr	2016	T2	avr.	Alberta	Alberta	Other - Alberta	Autres - Alberta	25
2025	Q2	May	2025	T2	mai	British Columbia	Colombie-Britannique	Victoria	Victoria	65
2021	Q1	Mar	2021	T1	mars	Ontario	Ontario	Kingston	Kingston	25
2023	Q2	Jun	2023	T2	juin	Prince Edward Island	Île-du-Prince-Édouard	Other - Prince Edward Island	Autres - Île-du-Prince-Édouard	5
2022	Q4	Oct	2022	T4	oct.	Saskatchewan	Saskatchewan	Other - Saskatchewan	Autres - Saskatchewan	15
2025	Q2	Apr	2025	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Other - Newfoundland and Labrador	Autres - Terre-Neuve-et-Labrador	25
2020	Q3	Aug	2020	T3	août	Saskatchewan	Saskatchewan	Other - Saskatchewan	Autres - Saskatchewan	--
2025	Q4	Oct	2025	T4	oct.	Ontario	Ontario	Norfolk	Norfolk	15
2025	Q4	Dec	2025	T4	déc.	Saskatchewan	Saskatchewan	Swift Current	Swift Current	--
2025	Q2	Apr	2025	T2	avr.	Ontario	Ontario	Chatham-Kent	Chatham-Kent	10
2022	Q1	Mar	2022	T1	mars	British Columbia	Colombie-Britannique	Vancouver	Vancouver	860
2019	Q2	Jun	2019	T2	juin	Yukon	Yukon	Whitehorse	Whitehorse	5
2022	Q2	Jun	2022	T2	juin	Manitoba	Manitoba	Steinbach	Steinbach	--
2016	Q1	Feb	2016	T1	fév.	Ontario	Ontario	Kitchener - Cambridge - Waterloo	Kitchener - Cambridge - Waterloo	70
2020	Q3	Aug	2020	T3	août	Ontario	Ontario	Windsor	Windsor	30
2019	Q1	Jan	2019	T1	janv.	Ontario	Ontario	Oshawa	Oshawa	15
2025	Q1	Mar	2025	T1	mars	New Brunswick	Nouveau-Brunswick	Edmundston	Edmundston	10
2017	Q2	Apr	2017	T2	avr.	British Columbia	Colombie-Britannique	Courtenay	Courtenay	5
2024	Q3	Jul	2024	T3	juil.	Ontario	Ontario	Hamilton	Hamilton	715
2024	Q2	Apr	2024	T2	avr.	Ontario	Ontario	Thunder Bay	Thunder Bay	30
2025	Q2	Apr	2025	T2	avr.	British Columbia	Colombie-Britannique	Other - British Columbia	Autres - Colombie-Britannique	40
2023	Q2	Jun	2023	T2	juin	Nova Scotia	Nouvelle-Écosse	Cape Breton	Cape Breton	120
2018	Q3	Aug	2018	T3	août	Ontario	Ontario	Toronto	Toronto	3335
2021	Q2	Apr	2021	T2	avr.	Nova Scotia	Nouvelle-Écosse	Halifax	Halifax	80
2018	Q1	Jan	2018	T1	janv.	Ontario	Ontario	Brockville	Brockville	--
2016	Q1	Jan	2016	T1	janv.	Ontario	Ontario	Timmins	Timmins	--
2020	Q1	Mar	2020	T1	mars	Ontario	Ontario	Toronto	Toronto	965
2019	Q2	May	2019	T2	mai	Nova Scotia	Nouvelle-Écosse	Other - Nova Scotia	Autres - Nouvelle-Écosse	20
2025	Q2	Jun	2025	T2	juin	Ontario	Ontario	Norfolk	Norfolk	15
2021	Q4	Dec	2021	T4	déc.	Ontario	Ontario	Kingston	Kingston	10
2023	Q4	Nov	2023	T4	nov.	Alberta	Alberta	Medicine Hat	Medicine Hat	--
2023	Q2	Apr	2023	T2	avr.	Quebec	Québec	Granby	Granby	--
2024	Q2	Jun	2024	T2	juin	Alberta	Alberta	Medicine Hat	Medicine Hat	20
2021	Q3	Sep	2021	T3	sept.	Saskatchewan	Saskatchewan	Prince Albert	Prince Albert	5
2020	Q3	Aug	2020	T3	août	Nova Scotia	Nouvelle-Écosse	Truro	Truro	--
2018	Q1	Mar	2018	T1	mars	Ontario	Ontario	Greater Sudbury	Grand Sudbury	--
2021	Q2	May	2021	T2	mai	Alberta	Alberta	Medicine Hat	Medicine Hat	5
2016	Q2	Apr	2016	T2	avr.	British Columbia	Colombie-Britannique	Duncan	Duncan	--
2016	Q3	Sep	2016	T3	sept.	New Brunswick	Nouveau-Brunswick	Other - New Brunswick	Autres - Nouveau-Brunswick	5
2023	Q4	Oct	2023	T4	oct.	Ontario	Ontario	Midland	Midland	--
2021	Q1	Jan	2021	T1	janv.	British Columbia	Colombie-Britannique	Fort St. John	Fort St. John	--
2023	Q2	May	2023	T2	mai	Saskatchewan	Saskatchewan	Weyburn	Weyburn	--
2020	Q2	May	2020	T2	mai	Saskatchewan	Saskatchewan	Prince Albert	Prince Albert	--
2022	Q4	Dec	2022	T4	déc.	British Columbia	Colombie-Britannique	Salmon Arm	Salmon Arm	--
2017	Q4	Nov	2017	T4	nov.	Ontario	Ontario	Brantford	Brantford	--
2015	Q2	Apr	2015	T2	avr.	New Brunswick	Nouveau-Brunswick	Fredericton	Fredericton	--
2022	Q1	Feb	2022	T1	fév.	Ontario	Ontario	Midland	Midland	--
2020	Q1	Mar	2020	T1	mars	British Columbia	Colombie-Britannique	Chilliwack	Chilliwack	--
2016	Q1	Feb	2016	T1	fév.	New Brunswick	Nouveau-Brunswick	Other - New Brunswick	Autres - Nouveau-Brunswick	--
2022	Q3	Aug	2022	T3	août	Ontario	Ontario	Kawartha Lakes	Kawartha Lakes	--
2016	Q2	Jun	2016	T2	juin	Ontario	Ontario	Woodstock	Woodstock	--
2017	Q3	Sep	2017	T3	sept.	Ontario	Ontario	Timmins	Timmins	10
2020	Q4	Dec	2020	T4	déc.	Ontario	Ontario	Owen Sound	Owen Sound	5
2019	Q3	Aug	2019	T3	août	British Columbia	Colombie-Britannique	Port Alberni	Port Alberni	--
2018	Q2	May	2018	T2	mai	British Columbia	Colombie-Britannique	Fort St. John	Fort St. John	--
2022	Q4	Dec	2022	T4	déc.	Ontario	Ontario	Centre Wellington	Centre Wellington	--
2017	Q4	Dec	2017	T4	déc.	British Columbia	Colombie-Britannique	Terrace	Terrace	--
2015	Q4	Nov	2015	T4	nov.	Saskatchewan	Saskatchewan	Moose Jaw	Moose Jaw	5
2018	Q3	Aug	2018	T3	août	British Columbia	Colombie-Britannique	Port Alberni	Port Alberni	--
2018	Q1	Jan	2018	T1	janv.	British Columbia	Colombie-Britannique	Squamish	Squamish	--
2021	Q4	Dec	2021	T4	déc.	Quebec	Québec	Rimouski	Rimouski	--
2015	Q1	Mar	2015	T1	mars	Quebec	Québec	Baie-Comeau	Baie-Comeau	--
2024	Q1	Jan	2024	T1	janv.	Ontario	Ontario	Brockville	Brockville	--
2016	Q2	Jun	2016	T2	juin	Ontario	Ontario	Chatham-Kent	Chatham-Kent	--
2018	Q1	Jan	2018	T1	janv.	Alberta	Alberta	Brooks	Brooks	--
2022	Q2	May	2022	T2	mai	Saskatchewan	Saskatchewan	Weyburn	Weyburn	--
2025	Q3	Sep	2025	T3	sept.	British Columbia	Colombie-Britannique	Ladysmith	Ladysmith	--
2025	Q1	Mar	2025	T1	mars	Nunavut	Nunavut	Territories (outside Census agglomeration, Nunavut)	Territoires (à l'extérieur des agglomérations de recensement, Nunavut)	--
2021	Q3	Jul	2021	T3	juil.	Ontario	Ontario	Pembroke	Pembroke	--
2016	Q2	May	2016	T2	mai	British Columbia	Colombie-Britannique	Port Alberni	Port Alberni	--
2017	Q2	May	2017	T2	mai	British Columbia	Colombie-Britannique	Kamloops	Kamloops	15
2022	Q2	May	2022	T2	mai	Ontario	Ontario	Thunder Bay	Thunder Bay	5
2025	Q3	Jul	2025	T3	juil.	Saskatchewan	Saskatchewan	North Battleford	North Battleford	--
2023	Q4	Oct	2023	T4	oct.	Ontario	Ontario	London	Londres	905
2024	Q4	Nov	2024	T4	nov.	Ontario	Ontario	Belleville - Quinte West	Belleville - Quinte West	50
2023	Q2	Jun	2023	T2	juin	Northwest Territories	Territoires du Nord-Ouest	Yellowknife	Yellowknife	5
2024	Q1	Feb	2024	T1	fév.	Manitoba	Manitoba	Winnipeg	Winnipeg	450
2020	Q2	Apr	2020	T2	avr.	Prince Edward Island	Île-du-Prince-Édouard	Charlottetown	Charlottetown	35
2023	Q3	Aug	2023	T3	août	Yukon	Yukon	Whitehorse	Whitehorse	20
2023	Q3	Aug	2023	T3	août	Ontario	Ontario	Greater Sudbury	Grand Sudbury	100
2016	Q2	Apr	2016	T2	avr.	Saskatchewan	Saskatchewan	North Battleford	North Battleford	--
2022	Q4	Oct	2022	T4	oct.	British Columbia	Colombie-Britannique	Victoria	Victoria	85
2015	Q1	Mar	2015	T1	mars	British Columbia	Colombie-Britannique	Vancouver	Vancouver	400
2016	Q3	Jul	2016	T3	juil.	Saskatchewan	Saskatchewan	Regina	Regina	105
2024	Q4	Nov	2024	T4	nov.	Ontario	Ontario	Toronto	Toronto	5895
2022	Q4	Nov	2022	T4	nov.	Ontario	Ontario	Belleville - Quinte West	Belleville - Quinte West	20
2024	Q2	Apr	2024	T2	avr.	British Columbia	Colombie-Britannique	Victoria	Victoria	80
2022	Q1	Feb	2022	T1	fév.	Ontario	Ontario	St. Catharines - Niagara	St. Catharines - Niagara	40
2021	Q2	May	2021	T2	mai	Ontario	Ontario	Hamilton	Hamilton	95
2025	Q2	May	2025	T2	mai	Ontario	Ontario	Guelph	Guelph	40
2023	Q4	Nov	2023	T4	nov.	British Columbia	Colombie-Britannique	Vernon	Vernon	5
2017	Q1	Jan	2017	T1	janv.	Quebec	Québec	Ottawa - Gatineau (Quebec part)	Ottawa - Gatineau (partie du Québec)	20
2020	Q1	Feb	2020	T1	fév.	Ontario	Ontario	Norfolk	Norfolk	--
2024	Q3	Jul	2024	T3	juil.	British Columbia	Colombie-Britannique	Vernon	Vernon	5
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Lethbridge	Lethbridge	--
2022	Q2	Apr	2022	T2	avr.	British Columbia	Colombie-Britannique	Victoria	Victoria	15
2022	Q4	Nov	2022	T4	nov.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Other - Newfoundland and Labrador	Autres - Terre-Neuve-et-Labrador	25
2015	Q4	Nov	2015	T4	nov.	Ontario	Ontario	Other - Ontario	Autres - Ontario	110
2021	Q3	Sep	2021	T3	sept.	Alberta	Alberta	Calgary	Calgary	320
2019	Q4	Nov	2019	T4	nov.	Ontario	Ontario	Peterborough	Peterborough	50
2025	Q1	Jan	2025	T1	janv.	Ontario	Ontario	Owen Sound	Owen Sound	10
2020	Q2	Apr	2020	T2	avr.	British Columbia	Colombie-Britannique	Prince George	Prince George	60
2017	Q3	Jul	2017	T3	juil.	Quebec	Québec	Ottawa - Gatineau (Quebec part)	Ottawa - Gatineau (partie du Québec)	35
2024	Q3	Jul	2024	T3	juil.	Quebec	Québec	Montréal	Montréal	1065
2019	Q1	Mar	2019	T1	mars	Prince Edward Island	Île-du-Prince-Édouard	Charlottetown	Charlottetown	20
2021	Q2	Jun	2021	T2	juin	Alberta	Alberta	Other - Alberta	Autres - Alberta	50
2022	Q1	Mar	2022	T1	mars	Ontario	Ontario	Greater Sudbury	Grand Sudbury	20
2017	Q2	Jun	2017	T2	juin	Ontario	Ontario	Toronto	Toronto	1425
2024	Q2	Jun	2024	T2	juin	New Brunswick	Nouveau-Brunswick	Moncton	Moncton	150
2017	Q2	May	2017	T2	mai	New Brunswick	Nouveau-Brunswick	Moncton	Moncton	10
2016	Q1	Mar	2016	T1	mars	British Columbia	Colombie-Britannique	Williams Lake	Williams Lake	--
2024	Q4	Oct	2024	T4	oct.	Ontario	Ontario	Woodstock	Woodstock	30
2017	Q3	Aug	2017	T3	août	Ontario	Ontario	Hamilton	Hamilton	140
2019	Q1	Mar	2019	T1	mars	Manitoba	Manitoba	Brandon	Brandon	--
2018	Q1	Jan	2018	T1	janv.	Ontario	Ontario	London	Londres	60
2021	Q3	Jul	2021	T3	juil.	New Brunswick	Nouveau-Brunswick	Moncton	Moncton	60
2017	Q1	Feb	2017	T1	fév.	British Columbia	Colombie-Britannique	Nanaimo	Nanaimo	5
2016	Q2	May	2016	T2	mai	Alberta	Alberta	Edmonton	Edmonton	170
2023	Q1	Mar	2023	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	St. John's	St. John's	55
2015	Q4	Dec	2015	T4	déc.	Ontario	Ontario	Hamilton	Hamilton	50
2025	Q2	Apr	2025	T2	avr.	Ontario	Ontario	Thunder Bay	Thunder Bay	35
2026	Q1	Jan	2026	T1	janv.	British Columbia	Colombie-Britannique	Penticton	Penticton	25
2017	Q2	Jun	2017	T2	juin	British Columbia	Colombie-Britannique	Salmon Arm	Salmon Arm	5
2023	Q2	Jun	2023	T2	juin	Alberta	Alberta	Edmonton	Edmonton	375
2021	Q1	Feb	2021	T1	fév.	Manitoba	Manitoba	Brandon	Brandon	10
2024	Q4	Nov	2024	T4	nov.	Ontario	Ontario	Chatham-Kent	Chatham-Kent	--
2017	Q2	May	2017	T2	mai	Newfoundland and Labrador	Terre-Neuve-et-Labrador	St. John's	St. John's	10
2024	Q2	Apr	2024	T2	avr.	Ontario	Ontario	Hamilton	Hamilton	95
2020	Q4	Nov	2020	T4	nov.	Alberta	Alberta	Lethbridge	Lethbridge	20
2021	Q3	Aug	2021	T3	août	Province/Territory not stated	Province/territoire non déclaré(e)	Census metropolitan area not stated	Région métropolitaine de recensement non déclarée	10
2025	Q4	Oct	2025	T4	oct.	British Columbia	Colombie-Britannique	Fort St. John	Fort St. John	--
2020	Q1	Jan	2020	T1	janv.	British Columbia	Colombie-Britannique	Victoria	Victoria	45
2023	Q1	Mar	2023	T1	mars	New Brunswick	Nouveau-Brunswick	Moncton	Moncton	110
2019	Q2	May	2019	T2	mai	Saskatchewan	Saskatchewan	Moose Jaw	Moose Jaw	10
2025	Q1	Jan	2025	T1	janv.	Ontario	Ontario	Orillia	Orillia	15
2025	Q1	Jan	2025	T1	janv.	British Columbia	Colombie-Britannique	Penticton	Penticton	5
2019	Q2	May	2019	T2	mai	Quebec	Québec	Saguenay	Saguenay	10
2024	Q3	Sep	2024	T3	sept.	Quebec	Québec	Sept-Îles	Sept-Îles	--
2023	Q1	Jan	2023	T1	janv.	Ontario	Ontario	Owen Sound	Owen Sound	5
2021	Q4	Nov	2021	T4	nov.	Quebec	Québec	Trois-Rivières	Trois-Rivières	15
2020	Q4	Oct	2020	T4	oct.	Ontario	Ontario	Belleville - Quinte West	Belleville - Quinte West	155
2023	Q3	Aug	2023	T3	août	British Columbia	Colombie-Britannique	Vancouver	Vancouver	2775
2023	Q1	Jan	2023	T1	janv.	Ontario	Ontario	Cobourg	Cobourg	--
2018	Q4	Dec	2018	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	St. John's	St. John's	15
2023	Q4	Nov	2023	T4	nov.	Manitoba	Manitoba	Thompson	Thompson	--
2025	Q2	May	2025	T2	mai	Quebec	Québec	Québec	Québec	10
2018	Q4	Dec	2018	T4	déc.	Prince Edward Island	Île-du-Prince-Édouard	Charlottetown	Charlottetown	10
2021	Q2	Jun	2021	T2	juin	Saskatchewan	Saskatchewan	Other - Saskatchewan	Autres - Saskatchewan	5
2022	Q2	Jun	2022	T2	juin	British Columbia	Colombie-Britannique	Nanaimo	Nanaimo	5
2024	Q3	Jul	2024	T3	juil.	Ontario	Ontario	Norfolk	Norfolk	--
2024	Q1	Feb	2024	T1	fév.	British Columbia	Colombie-Britannique	Dawson Creek	Dawson Creek	20
2016	Q2	Apr	2016	T2	avr.	Alberta	Alberta	Red Deer	Red Deer	--
2017	Q2	Jun	2017	T2	juin	Ontario	Ontario	Greater Sudbury	Grand Sudbury	--
2018	Q3	Sep	2018	T3	sept.	British Columbia	Colombie-Britannique	Prince George	Prince George	5
2016	Q1	Feb	2016	T1	fév.	British Columbia	Colombie-Britannique	Terrace	Terrace	--
2016	Q4	Dec	2016	T4	déc.	Ontario	Ontario	Belleville - Quinte West	Belleville - Quinte West	--
2022	Q2	Apr	2022	T2	avr.	British Columbia	Colombie-Britannique	Terrace	Terrace	--
2015	Q4	Dec	2015	T4	déc.	Ontario	Ontario	Sault Ste. Marie	Sault Ste. Marie	--
2020	Q3	Sep	2020	T3	sept.	Quebec	Québec	Rivière-du-Loup	Rivière-du-Loup	--
2020	Q2	Apr	2020	T2	avr.	British Columbia	Colombie-Britannique	Parksville	Parksville	--
2016	Q3	Jul	2016	T3	juil.	British Columbia	Colombie-Britannique	Quesnel	Quesnel	--
2023	Q4	Dec	2023	T4	déc.	British Columbia	Colombie-Britannique	Prince George	Prince George	--
2018	Q1	Feb	2018	T1	fév.	Alberta	Alberta	Okotoks	Okotoks	--
2021	Q1	Mar	2021	T1	mars	Ontario	Ontario	Brockville	Brockville	--
2021	Q4	Nov	2021	T4	nov.	Prince Edward Island	Île-du-Prince-Édouard	Summerside	Summerside	--
2023	Q2	Jun	2023	T2	juin	Quebec	Québec	Shawinigan	Shawinigan	--
2020	Q4	Oct	2020	T4	oct.	Nova Scotia	Nouvelle-Écosse	New Glasgow	New Glasgow	10
2025	Q2	Jun	2025	T2	juin	Alberta	Alberta	Lacombe	Lacombe	--
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	Cranbrook	Cranbrook	--
2025	Q4	Nov	2025	T4	nov.	Quebec	Québec	Amos	Amos	--
2018	Q4	Nov	2018	T4	nov.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Corner Brook	Corner Brook	--
2018	Q2	May	2018	T2	mai	Quebec	Québec	Rimouski	Rimouski	--
2015	Q2	May	2015	T2	mai	Saskatchewan	Saskatchewan	Swift Current	Swift Current	5
2023	Q1	Feb	2023	T1	fév.	New Brunswick	Nouveau-Brunswick	Bathurst	Bathurst	--
2020	Q3	Aug	2020	T3	août	Ontario	Ontario	Brockville	Brockville	--
2021	Q1	Jan	2021	T1	janv.	Quebec	Québec	Rivière-du-Loup	Rivière-du-Loup	--
2017	Q2	Apr	2017	T2	avr.	British Columbia	Colombie-Britannique	Prince George	Prince George	--
2020	Q1	Feb	2020	T1	fév.	Nunavut	Nunavut	Territories (outside Census agglomeration, Nunavut)	Territoires (à l'extérieur des agglomérations de recensement, Nunavut)	--
2021	Q2	Apr	2021	T2	avr.	Alberta	Alberta	Wood Buffalo	Wood Buffalo	--
2023	Q4	Oct	2023	T4	oct.	Quebec	Québec	Rivière-du-Loup	Rivière-du-Loup	5
2021	Q1	Feb	2021	T1	fév.	New Brunswick	Nouveau-Brunswick	Campbellton (New Brunswick part)	Campbellton (partie du Nouveau-Brunswick)	--
2023	Q3	Sep	2023	T3	sept.	British Columbia	Colombie-Britannique	Quesnel	Quesnel	--
2019	Q3	Aug	2019	T3	août	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	10
2023	Q4	Dec	2023	T4	déc.	Quebec	Québec	Granby	Granby	5
2015	Q4	Oct	2015	T4	oct.	Ontario	Ontario	Kawartha Lakes	Kawartha Lakes	--
2015	Q4	Nov	2015	T4	nov.	British Columbia	Colombie-Britannique	Chilliwack	Chilliwack	--
2018	Q2	Apr	2018	T2	avr.	Alberta	Alberta	Canmore	Canmore	--
2015	Q4	Oct	2015	T4	oct.	Ontario	Ontario	Kenora	Kenora	--
2016	Q4	Dec	2016	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Corner Brook	Corner Brook	--
2023	Q4	Dec	2023	T4	déc.	British Columbia	Colombie-Britannique	Nelson	Nelson	--
2022	Q4	Oct	2022	T4	oct.	Ontario	Ontario	Cobourg	Cobourg	--
2023	Q1	Feb	2023	T1	fév.	British Columbia	Colombie-Britannique	Fort St. John	Fort St. John	--
2016	Q4	Oct	2016	T4	oct.	New Brunswick	Nouveau-Brunswick	Other - New Brunswick	Autres - Nouveau-Brunswick	--
2021	Q4	Oct	2021	T4	oct.	Quebec	Québec	Victoriaville	Victoriaville	--
2019	Q1	Mar	2019	T1	mars	Saskatchewan	Saskatchewan	Moose Jaw	Moose Jaw	--
2024	Q4	Oct	2024	T4	oct.	Quebec	Québec	Shawinigan	Shawinigan	--
2022	Q2	Apr	2022	T2	avr.	Manitoba	Manitoba	Steinbach	Steinbach	--
2019	Q2	Apr	2019	T2	avr.	Ontario	Ontario	Petawawa	Petawawa	--
2020	Q2	Apr	2020	T2	avr.	Quebec	Québec	Granby	Granby	--
2019	Q3	Sep	2019	T3	sept.	Manitoba	Manitoba	Steinbach	Steinbach	--
2015	Q1	Feb	2015	T1	fév.	Northwest Territories	Territoires du Nord-Ouest	Yellowknife	Yellowknife	--
2018	Q2	May	2018	T2	mai	Ontario	Ontario	Chatham-Kent	Chatham-Kent	--
2025	Q2	Apr	2025	T2	avr.	Ontario	Ontario	Cobourg	Cobourg	--
2024	Q2	Apr	2024	T2	avr.	Ontario	Ontario	Windsor	Windsor	75
2016	Q2	Apr	2016	T2	avr.	British Columbia	Colombie-Britannique	Fort St. John	Fort St. John	--
2022	Q3	Jul	2022	T3	juil.	Ontario	Ontario	North Bay	North Bay	15
2018	Q1	Mar	2018	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	St. John's	St. John's	5
2015	Q1	Mar	2015	T1	mars	Manitoba	Manitoba	Winnipeg	Winnipeg	80
2022	Q1	Jan	2022	T1	janv.	Ontario	Ontario	Sarnia	Sarnia	40
2025	Q4	Dec	2025	T4	déc.	British Columbia	Colombie-Britannique	Dawson Creek	Dawson Creek	15
2024	Q4	Nov	2024	T4	nov.	New Brunswick	Nouveau-Brunswick	Fredericton	Fredericton	35
2016	Q2	Jun	2016	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Other - Newfoundland and Labrador	Autres - Terre-Neuve-et-Labrador	15
2023	Q3	Sep	2023	T3	sept.	Nova Scotia	Nouvelle-Écosse	Other - Nova Scotia	Autres - Nouvelle-Écosse	20
2016	Q2	Apr	2016	T2	avr.	Ontario	Ontario	London	Londres	105
2019	Q2	May	2019	T2	mai	Ontario	Ontario	Orillia	Orillia	5
2016	Q4	Nov	2016	T4	nov.	Ontario	Ontario	Kingston	Kingston	15
2025	Q2	Jun	2025	T2	juin	Ontario	Ontario	Hamilton	Hamilton	125
2019	Q2	May	2019	T2	mai	British Columbia	Colombie-Britannique	Other - British Columbia	Autres - Colombie-Britannique	115
2017	Q2	Jun	2017	T2	juin	Ontario	Ontario	Kitchener - Cambridge - Waterloo	Kitchener - Cambridge - Waterloo	135
2015	Q2	Apr	2015	T2	avr.	Alberta	Alberta	High River	High River	--
2020	Q1	Jan	2020	T1	janv.	Ontario	Ontario	Timmins	Timmins	--
2021	Q2	Apr	2021	T2	avr.	Ontario	Ontario	Woodstock	Woodstock	--
2019	Q1	Mar	2019	T1	mars	British Columbia	Colombie-Britannique	Campbell River	Campbell River	--
2020	Q4	Dec	2020	T4	déc.	Ontario	Ontario	Orillia	Orillia	10
2019	Q1	Feb	2019	T1	fév.	Saskatchewan	Saskatchewan	Other - Saskatchewan	Autres - Saskatchewan	--
2021	Q3	Jul	2021	T3	juil.	Alberta	Alberta	Wetaskiwin	Wetaskiwin	--
2024	Q1	Feb	2024	T1	fév.	Alberta	Alberta	Camrose	Camrose	--
2021	Q1	Mar	2021	T1	mars	British Columbia	Colombie-Britannique	Trail	Trail	--
2024	Q2	Apr	2024	T2	avr.	Ontario	Ontario	Petawawa	Petawawa	--
2023	Q3	Sep	2023	T3	sept.	British Columbia	Colombie-Britannique	Powell River	Powell River	--
2021	Q1	Feb	2021	T1	fév.	Alberta	Alberta	Canmore	Canmore	--
2016	Q1	Feb	2016	T1	fév.	Ontario	Ontario	Greater Sudbury	Grand Sudbury	--
2017	Q4	Oct	2017	T4	oct.	Alberta	Alberta	Grande Prairie	Grande Prairie	--
2015	Q2	Jun	2015	T2	juin	Nova Scotia	Nouvelle-Écosse	Other - Nova Scotia	Autres - Nouvelle-Écosse	--
2017	Q4	Nov	2017	T4	nov.	British Columbia	Colombie-Britannique	Williams Lake	Williams Lake	--
2018	Q2	Apr	2018	T2	avr.	Quebec	Québec	Shawinigan	Shawinigan	--
2024	Q4	Oct	2024	T4	oct.	Quebec	Québec	Montréal	Montréal	755
2023	Q3	Sep	2023	T3	sept.	Ontario	Ontario	Sarnia	Sarnia	35
2017	Q3	Aug	2017	T3	août	Province/Territory not stated	Province/territoire non déclaré(e)	Census metropolitan area not stated	Région métropolitaine de recensement non déclarée	10
2021	Q3	Aug	2021	T3	août	British Columbia	Colombie-Britannique	Abbotsford - Mission	Abbotsford - Mission	135
2025	Q1	Mar	2025	T1	mars	British Columbia	Colombie-Britannique	Prince George	Prince George	35
2023	Q4	Nov	2023	T4	nov.	Ontario	Ontario	Kingston	Kingston	105
2017	Q4	Dec	2017	T4	déc.	British Columbia	Colombie-Britannique	Williams Lake	Williams Lake	--
2017	Q2	Apr	2017	T2	avr.	Saskatchewan	Saskatchewan	Yorkton	Yorkton	--
2024	Q3	Aug	2024	T3	août	Ontario	Ontario	Greater Sudbury	Grand Sudbury	105
2019	Q3	Sep	2019	T3	sept.	British Columbia	Colombie-Britannique	Abbotsford - Mission	Abbotsford - Mission	70
2015	Q4	Nov	2015	T4	nov.	Saskatchewan	Saskatchewan	Other - Saskatchewan	Autres - Saskatchewan	10
2018	Q3	Aug	2018	T3	août	Saskatchewan	Saskatchewan	Prince Albert	Prince Albert	15
2020	Q4	Nov	2020	T4	nov.	Saskatchewan	Saskatchewan	Prince Albert	Prince Albert	15
2021	Q2	May	2021	T2	mai	Ontario	Ontario	Toronto	Toronto	2310
2020	Q4	Dec	2020	T4	déc.	British Columbia	Colombie-Britannique	Victoria	Victoria	150
2021	Q3	Aug	2021	T3	août	Quebec	Québec	Saguenay	Saguenay	20
2020	Q3	Aug	2020	T3	août	British Columbia	Colombie-Britannique	Abbotsford - Mission	Abbotsford - Mission	20
2017	Q2	Jun	2017	T2	juin	Quebec	Québec	Sainte-Agathe-des-Monts	Sainte-Agathe-des-Monts	--
2021	Q2	May	2021	T2	mai	Ontario	Ontario	North Bay	North Bay	5
2024	Q4	Nov	2024	T4	nov.	Ontario	Ontario	Guelph	Guelph	70
2018	Q2	Jun	2018	T2	juin	New Brunswick	Nouveau-Brunswick	Bathurst	Bathurst	--
2023	Q3	Sep	2023	T3	sept.	Alberta	Alberta	Other - Alberta	Autres - Alberta	45
2019	Q3	Jul	2019	T3	juil.	Manitoba	Manitoba	Winnipeg	Winnipeg	110
2019	Q3	Aug	2019	T3	août	British Columbia	Colombie-Britannique	Vernon	Vernon	--
2016	Q3	Jul	2016	T3	juil.	Alberta	Alberta	Other - Alberta	Autres - Alberta	50
2019	Q3	Jul	2019	T3	juil.	Ontario	Ontario	Windsor	Windsor	45
2023	Q4	Oct	2023	T4	oct.	Alberta	Alberta	Edmonton	Edmonton	530
2018	Q2	Jun	2018	T2	juin	Ontario	Ontario	Barrie	Barrie	20
2024	Q2	Jun	2024	T2	juin	British Columbia	Colombie-Britannique	Duncan	Duncan	--
